,Date,Pageviews,Clicks,Enrollments,Payments
0,"Sat, Oct 11",7716,686,105.0,34.0
1,"Sun, Oct 12",9288,785,116.0,91.0
2,"Mon, Oct 13",10480,884,145.0,79.0
3,"Tue, Oct 14",9867,827,138.0,92.0
4,"Wed, Oct 15",9793,832,140.0,94.0
5,"Thu, Oct 16",9500,788,129.0,61.0
6,"Fri, Oct 17",9088,780,127.0,44.0
7,"Sat, Oct 18",7664,652,94.0,62.0
8,"Sun, Oct 19",8434,697,120.0,77.0
9,"Mon, Oct 20",10496,860,153.0,98.0
10,"Tue, Oct 21",10551,864,143.0,71.0
11,"Wed, Oct 22",9737,801,128.0,70.0
12,"Thu, Oct 23",8176,642,122.0,68.0
13,"Fri, Oct 24",9402,697,194.0,94.0
14,"Sat, Oct 25",8669,669,127.0,81.0
15,"Sun, Oct 26",8881,693,153.0,101.0
16,"Mon, Oct 27",9655,771,213.0,119.0
17,"Tue, Oct 28",9396,736,162.0,120.0
18,"Wed, Oct 29",9262,727,201.0,96.0
19,"Thu, Oct 30",9308,728,207.0,67.0
20,"Fri, Oct 31",8715,722,182.0,123.0
21,"Sat, Nov 1",8448,695,142.0,100.0
22,"Sun, Nov 2",8836,724,182.0,103.0
23,"Mon, Nov 3",9359,789,213.0,
24,"Tue, Nov 4",9427,743,120.0,
25,"Wed, Nov 5",9633,808,153.0,
26,"Thu, Nov 6",9842,831,122.0,
27,"Fri, Nov 7",9272,767,122.0,
28,"Sat, Nov 8",8969,760,153.0,
29,"Sun, Nov 9",9697,850,138.0,
30,"Mon, Nov 10",10445,851,145.0,
31,"Tue, Nov 11",9931,831,122.0,
32,"Wed, Nov 12",10042,802,182.0,
33,"Thu, Nov 13",9721,829,94.0,
34,"Fri, Nov 14",9304,770,138.0,
35,"Sat, Nov 15",8668,724,127.0,
36,"Sun, Nov 16",8988,710,182.0,
